timestamp,surge_multiplier,expected_wait_time,product_type,start_location_id
2016-06-15 07:10:42,1.0,300,uberXL,17
2016-06-15 07:10:42,1.0,240,uberTAXI,17
2016-06-15 07:10:42,1.0,300,UberSUV,17
2016-06-15 07:10:42,1.0,840,ASSIST,17
2016-06-15 07:10:42,1.0,300,UberBLACK,17
2016-06-15 07:10:42,1.0,180,uberX,17
2016-06-15 07:10:42,1.0,240,UberSELECT,17
2016-06-15 07:10:42,1.0,780,uberXL,36
2016-06-15 07:10:42,1.0,240,uberTAXI,36
2016-06-15 07:10:42,1.0,780,UberSUV,36
2016-06-15 07:10:42,1.0,2220,ASSIST,36
2016-06-15 07:10:42,1.0,780,UberBLACK,36
2016-06-15 07:10:42,1.0,660,uberX,36
2016-06-15 07:10:42,1.0,240,UberSELECT,36
2016-06-15 07:10:42,1.0,600,uberXL,34
2016-06-15 07:10:42,1.0,480,uberTAXI,34
2016-06-15 07:10:42,1.0,240,UberSUV,34
2016-06-15 07:10:42,1.0,1200,ASSIST,34
2016-06-15 07:10:42,1.0,240,UberBLACK,34
2016-06-15 07:10:42,1.0,300,uberX,34
2016-06-15 07:10:42,1.0,420,UberSELECT,34
2016-06-15 07:10:42,1.0,660,uberXL,39
2016-06-15 07:10:42,1.0,480,uberTAXI,39
2016-06-15 07:10:42,1.0,600,UberSUV,39
2016-06-15 07:10:42,1.0,840,ASSIST,39
2016-06-15 07:10:42,1.0,600,UberBLACK,39
2016-06-15 07:10:42,1.0,120,uberX,39
2016-06-15 07:10:42,1.0,540,UberSELECT,39
2016-06-15 07:10:42,1.0,240,uberXL,41
2016-06-15 07:10:42,1.0,300,uberTAXI,41
2016-06-15 07:10:42,1.0,240,UberSUV,41
2016-06-15 07:10:42,1.0,840,ASSIST,41
2016-06-15 07:10:42,1.0,240,UberBLACK,41
2016-06-15 07:10:42,1.0,180,uberX,41
2016-06-15 07:10:42,1.0,240,UberSELECT,41
2016-06-15 07:10:42,1.0,240,uberXL,44
2016-06-15 07:10:42,1.0,180,uberTAXI,44
2016-06-15 07:10:42,1.0,180,UberSUV,44
2016-06-15 07:10:42,1.0,660,ASSIST,44
2016-06-15 07:10:42,1.0,180,UberBLACK,44
2016-06-15 07:10:42,1.0,120,uberX,44
2016-06-15 07:10:42,1.0,180,UberSELECT,44
2016-06-15 07:10:42,1.0,660,uberXL,56
2016-06-15 07:10:42,1.0,180,uberTAXI,56
2016-06-15 07:10:42,1.0,840,UberSUV,56
2016-06-15 07:10:42,1.0,2400,ASSIST,56
2016-06-15 07:10:42,1.0,840,UberBLACK,56
2016-06-15 07:10:42,1.0,600,uberX,56
2016-06-15 07:10:42,1.0,180,UberSELECT,56
2016-06-15 07:10:42,1.0,540,uberXL,69
2016-06-15 07:10:42,1.0,480,uberTAXI,69
2016-06-15 07:10:42,1.0,300,UberSUV,69
2016-06-15 07:10:42,1.0,1020,ASSIST,69
2016-06-15 07:10:42,1.0,300,UberBLACK,69
2016-06-15 07:10:42,1.0,360,uberX,69
2016-06-15 07:10:42,1.0,360,UberSELECT,69
2016-06-15 07:10:42,1.0,540,uberXL,71
2016-06-15 07:10:42,1.0,420,uberTAXI,71
2016-06-15 07:10:42,1.0,360,UberSUV,71
2016-06-15 07:10:42,1.0,1260,ASSIST,71
2016-06-15 07:10:42,1.0,360,UberBLACK,71
2016-06-15 07:10:42,1.0,300,uberX,71
2016-06-15 07:10:42,1.0,540,UberSELECT,71
2016-06-15 07:10:42,1.0,300,uberXL,79
2016-06-15 07:10:42,1.0,120,uberTAXI,79
2016-06-15 07:10:42,1.0,120,UberSUV,79
2016-06-15 07:10:42,1.0,600,ASSIST,79
2016-06-15 07:10:42,1.0,120,UberBLACK,79
2016-06-15 07:10:42,1.0,60,uberX,79
2016-06-15 07:10:42,1.0,120,UberSELECT,79
2016-06-15 07:10:42,1.0,420,uberXL,82
2016-06-15 07:10:42,1.0,240,uberTAXI,82
2016-06-15 07:10:42,1.0,300,UberSUV,82
2016-06-15 07:10:42,1.0,420,ASSIST,82
2016-06-15 07:10:42,1.0,300,UberBLACK,82
2016-06-15 07:10:42,1.0,120,uberX,82
2016-06-15 07:10:42,1.0,120,UberSELECT,82
2016-06-15 07:10:42,1.0,420,uberXL,15
2016-06-15 07:10:42,1.0,240,uberTAXI,15
2016-06-15 07:10:42,1.0,300,UberSUV,15
2016-06-15 07:10:42,1.0,420,ASSIST,15
2016-06-15 07:10:42,1.0,300,UberBLACK,15
2016-06-15 07:10:42,1.0,120,uberX,15
2016-06-15 07:10:42,1.0,120,UberSELECT,15
2016-06-15 07:10:42,1.0,840,uberXL,35
2016-06-15 07:10:42,1.0,900,uberTAXI,35
2016-06-15 07:10:42,1.0,660,UberSUV,35
2016-06-15 07:10:42,1.0,2040,ASSIST,35
2016-06-15 07:10:42,1.0,660,UberBLACK,35
2016-06-15 07:10:42,1.0,600,uberX,35
2016-06-15 07:10:42,1.0,120,UberSELECT,35
2016-06-15 07:10:42,1.0,840,uberXL,38
2016-06-15 07:10:42,1.0,900,uberTAXI,38
2016-06-15 07:10:42,1.0,1080,UberSUV,38
2016-06-15 07:10:42,1.0,2460,ASSIST,38
2016-06-15 07:10:42,1.0,1080,UberBLACK,38
2016-06-15 07:10:42,1.0,840,uberX,38
2016-06-15 07:10:42,1.0,120,UberSELECT,38
2016-06-15 07:10:42,1.0,360,uberXL,42
2016-06-15 07:10:42,1.0,300,uberTAXI,42
2016-06-15 07:10:42,1.0,360,UberSUV,42
2016-06-15 07:10:42,1.0,900,ASSIST,42
2016-06-15 07:10:42,1.0,360,UberBLACK,42
2016-06-15 07:10:42,1.0,240,uberX,42
2016-06-15 07:10:42,1.0,360,UberSELECT,42
2016-06-15 07:10:42,1.0,240,uberXL,43
2016-06-15 07:10:42,1.0,180,uberTAXI,43
2016-06-15 07:10:42,1.0,120,UberSUV,43
2016-06-15 07:10:42,1.0,780,ASSIST,43
2016-06-15 07:10:42,1.0,120,UberBLACK,43
2016-06-15 07:10:42,1.0,180,uberX,43
2016-06-15 07:10:42,1.0,180,UberSELECT,43
2016-06-15 07:10:42,1.0,180,uberXL,45
2016-06-15 07:10:42,1.0,240,uberTAXI,45
2016-06-15 07:10:42,1.0,180,UberSUV,45
2016-06-15 07:10:42,1.0,660,ASSIST,45
2016-06-15 07:10:42,1.0,180,UberBLACK,45
2016-06-15 07:10:42,1.0,180,uberX,45
2016-06-15 07:10:42,1.0,180,UberSELECT,45
2016-06-15 07:10:42,1.0,420,uberXL,48
2016-06-15 07:10:42,1.0,600,uberTAXI,48
2016-06-15 07:10:42,1.0,300,UberSUV,48
2016-06-15 07:10:42,1.0,960,ASSIST,48
2016-06-15 07:10:42,1.0,300,UberBLACK,48
2016-06-15 07:10:42,1.0,240,uberX,48
2016-06-15 07:10:42,1.0,360,UberSELECT,48
2016-06-15 07:10:42,1.0,660,uberXL,51
2016-06-15 07:10:42,1.0,480,uberTAXI,51
2016-06-15 07:10:42,1.0,360,UberSUV,51
2016-06-15 07:10:42,1.0,1260,ASSIST,51
2016-06-15 07:10:42,1.0,360,UberBLACK,51
2016-06-15 07:10:42,1.0,360,uberX,51
2016-06-15 07:10:42,1.0,540,UberSELECT,51
2016-06-15 07:10:42,1.0,480,uberXL,53
2016-06-15 07:10:42,1.0,420,uberTAXI,53
2016-06-15 07:10:42,1.0,360,UberSUV,53
2016-06-15 07:10:42,1.0,1200,ASSIST,53
2016-06-15 07:10:42,1.0,360,UberBLACK,53
2016-06-15 07:10:42,1.0,240,uberX,53
2016-06-15 07:10:42,1.0,540,UberSELECT,53
2016-06-15 07:10:42,1.0,720,uberXL,58
